---config@码表分类=主码-7
---config@允许编辑=是
---config@码表别名=系统唐诗
城阙辅三秦	igqtfusjqbtf#序52000
风烟望五津	fgyjwhwujbjd#序52000
与君离别意	yujylibpyial#序52000
同是宦游人	tsuihryzrfkp#序52000
无为在岐路	wuwwzdqiluaz#序52000
儿女共沾巾	ernvgsvjjbpl#序52000
西陆蝉声唱	xiluijugihak#序52000
南冠客思深	njgrkesiufud#序52000
不堪玄鬓影	bukjxrbbykao#序52000
来对白头吟	lddvbdtzybak#序52000
露重飞难进	luvsfwnjjbyz#序52000
风多响易沉	fgdoxlyiifjd#序52000
无人信高洁	wurfxbgcjpad#序52000
谁为表予心	uvwwbnyuxbyd#序52000
独有宦游人	duyzhryzrfqp#序52000
偏惊物候新	pmjkwuhzxbrl#序52000
云霞出海曙	yyxxiuhduueo#序52000
